Revision:           0
Type:               interpolation
Start:              0
Points:             15969
Count:              1
XDispRange:         1.00000E-09
XDispOrg:           -5.00000000E-10
XInc:               3.90625E-13
XOrg:               -3.118266724E-09
XUnits:             Second
YDispRange:         4.00000E-01
YDispOrg:           0.0E+00
YInc:               1.2207404324727E-05
YOrg:               0.0E+00
YUnits:             Volt
YReference:         1
Frame:              N8900A:AT79587422
Date:               2 JUL 2022
Time:               12:45:40.550
Max Bandwidth:      62000000000
Min Bandwidth:      0
Data: 
-3.118267E-09,4.422743E-02
-3.117876E-09,4.370251E-02
-3.117485E-09,4.318980E-02
-3.117095E-09,4.267709E-02
-3.116704E-09,4.213996E-02
-3.116314E-09,4.157842E-02
-3.115923E-09,4.098026E-02
-3.115532E-09,4.036989E-02
-3.115142E-09,3.973510E-02
-3.114751E-09,3.911252E-02
-3.114360E-09,3.847774E-02
-3.113970E-09,3.785516E-02
-3.113579E-09,3.723258E-02
-3.113189E-09,3.662221E-02
-3.112798E-09,3.601184E-02
-3.112407E-09,3.540147E-02
-3.112017E-09,3.479110E-02
-3.111626E-09,3.416852E-02
-3.111235E-09,3.357036E-02
-3.110845E-09,3.295999E-02
-3.110454E-09,3.233741E-02
-3.110064E-09,3.169042E-02
-3.109673E-09,3.100681E-02
-3.109282E-09,3.029878E-02
-3.108892E-09,2.957854E-02
-3.108501E-09,2.885830E-02
-3.108110E-09,2.813807E-02
-3.107720E-09,2.743004E-02
-3.107329E-09,2.673422E-02
-3.106939E-09,2.605060E-02
-3.106548E-09,2.537919E-02
-3.106157E-09,2.469558E-02
-3.105767E-09,2.401196E-02
-3.105376E-09,2.332835E-02
-3.104985E-09,2.265694E-02
-3.104595E-09,2.198554E-02
-3.104204E-09,2.128971E-02
-3.103814E-09,2.056948E-02
-3.103423E-09,1.982482E-02
-3.103032E-09,1.905576E-02
-3.102642E-09,1.827448E-02
-3.102251E-09,1.749321E-02
-3.101860E-09,1.671194E-02
-3.101470E-09,1.594287E-02
-3.101079E-09,1.519822E-02
-3.100689E-09,1.447798E-02
-3.100298E-09,1.375774E-02
-3.099907E-09,1.303751E-02
-3.099517E-09,1.230506E-02
-3.099126E-09,1.158483E-02
-3.098735E-09,1.086459E-02
-3.098345E-09,1.015656E-02
-3.097954E-09,9.42412E-03
-3.097564E-09,8.66726E-03
-3.097173E-09,7.87378E-03
-3.096782E-09,7.06809E-03
-3.096392E-09,6.26240E-03
-3.096001E-09,5.44450E-03
-3.095610E-09,4.63881E-03
-3.095220E-09,3.84533E-03
-3.094829E-09,3.07627E-03
-3.094439E-09,2.33161E-03
-3.094048E-09,1.61138E-03
-3.093657E-09,8.7893E-04
-3.093267E-09,1.3428E-04
-3.092876E-09,-6.1037E-04
-3.092485E-09,-1.34281E-03
-3.092095E-09,-2.06305E-03
-3.091704E-09,-2.80770E-03
-3.091314E-09,-3.57677E-03
-3.090923E-09,-4.37025E-03
-3.090532E-09,-5.17594E-03
-3.090142E-09,-5.99384E-03
-3.089751E-09,-6.79952E-03
-3.089360E-09,-7.60521E-03
-3.088970E-09,-8.39869E-03
-3.088579E-09,-9.15555E-03
-3.088189E-09,-9.88800E-03
-3.087798E-09,-1.059603E-02
-3.087407E-09,-1.131626E-02
-3.087017E-09,-1.203650E-02
-3.086626E-09,-1.276894E-02
-3.086235E-09,-1.348918E-02
-3.085845E-09,-1.420942E-02
-3.085454E-09,-1.492966E-02
-3.085064E-09,-1.568651E-02
-3.084673E-09,-1.644337E-02
-3.084282E-09,-1.722465E-02
-3.083892E-09,-1.800592E-02
-3.083501E-09,-1.878720E-02
-3.083110E-09,-1.955626E-02
-3.082720E-09,-2.031312E-02
-3.082329E-09,-2.103336E-02
-3.081939E-09,-2.172918E-02
-3.081548E-09,-2.240059E-02
-3.081157E-09,-2.307199E-02
-3.080767E-09,-2.375561E-02
-3.080376E-09,-2.443922E-02
-3.079985E-09,-2.512284E-02
-3.079595E-09,-2.579425E-02
-3.079204E-09,-2.647786E-02
-3.078814E-09,-2.717368E-02
-3.078423E-09,-2.789392E-02
-3.078032E-09,-2.861416E-02
-3.077642E-09,-2.933439E-02
-3.077251E-09,-3.005463E-02
-3.076860E-09,-3.076266E-02
-3.076470E-09,-3.144627E-02
-3.076079E-09,-3.210547E-02
-3.075689E-09,-3.272805E-02
-3.075298E-09,-3.333842E-02
-3.074907E-09,-3.393658E-02
-3.074517E-09,-3.455916E-02
-3.074126E-09,-3.516953E-02
-3.073735E-09,-3.577990E-02
-3.073345E-09,-3.639027E-02
-3.072954E-09,-3.701285E-02
-3.072564E-09,-3.763543E-02
-3.072173E-09,-3.825801E-02
-3.071782E-09,-3.889279E-02
-3.071392E-09,-3.952758E-02
-3.071001E-09,-4.015015E-02
-3.070610E-09,-4.077273E-02
-3.070220E-09,-4.137089E-02
-3.069829E-09,-4.194464E-02
-3.069439E-09,-4.246956E-02
-3.069048E-09,-4.298227E-02
-3.068657E-09,-4.350719E-02
-3.068267E-09,-4.403211E-02
-3.067876E-09,-4.455703E-02
-3.067485E-09,-4.506974E-02
-3.067095E-09,-4.559466E-02
-3.066704E-09,-4.611957E-02
-3.066314E-09,-4.664449E-02
-3.065923E-09,-4.715720E-02
-3.065532E-09,-4.768212E-02
-3.065142E-09,-4.820704E-02
-3.064751E-09,-4.871975E-02
-3.064360E-09,-4.923246E-02
-3.063970E-09,-4.972076E-02
-3.063579E-09,-5.017243E-02
-3.063189E-09,-5.059969E-02
-3.062798E-09,-5.100254E-02
-3.062407E-09,-5.140538E-02
-3.062017E-09,-5.180822E-02
